Date/Time,Wind Direction (°),LV ActivePower (kW),Wind Speed (m/s)
1 1 2018 0:0,336.296,16000,16.418
1 1 2018 0:10,337.51,16000,16.653
1 1 2018 0:20,337.927,16000,16.919
1 1 2018 0:30,338.174,16000,16.989
1 1 2018 0:40,338.433,16000,17.096
1 1 2018 0:50,338.389,16000,17.013
1 1 2018 1:0,338.037,16000,16.598
1 1 2018 1:10,337.927,16000,16.318
1 1 2018 1:20,338.246,16000,15.933
1 1 2018 1:30,338.521,16000,15.491
1 1 2018 1:40,338.658,16000,15.292
1 1 2018 1:50,338.872,16000,15.427
1 1 2018 2:0,339.262,16000,15.79
1 1 2018 2:10,339.158,16000,15.857
1 1 2018 2:20,338.812,16000,15.604
1 1 2018 2:30,338.663,16000,15.405
1 1 2018 2:40,338.608,16000,15.185
1 1 2018 2:50,338.521,16000,15.06
1 1 2018 3:0,338.466,16000,15.033
1 1 2018 3:10,338.729,16000,14.956
1 1 2018 3:20,338.372,15998,14.761
1 1 2018 3:30,337.856,15997,14.572
1 1 2018 3:40,337.642,15995,14.447
1 1 2018 3:50,337.658,15993,14.163
1 1 2018 4:0,337.537,15983,13.739
1 1 2018 4:10,337.405,15939,13.168
1 1 2018 4:20,337.01,15838,12.604
1 1 2018 4:30,336.708,15687,12.268
1 1 2018 4:40,335.988,15614,12.106
1 1 2018 4:50,335.192,15613,12.103
1 1 2018 5:0,334.807,15684,12.259
1 1 2018 5:10,335.296,15882,12.695
1 1 2018 5:20,336.345,15950,13.306
1 1 2018 5:30,336.922,15973,13.592
1 1 2018 5:40,337.51,15980,13.678
1 1 2018 5:50,337.949,15977,13.65
1 1 2018 6:0,338.004,15956,13.379
1 1 2018 6:10,337.367,15920,12.918
1 1 2018 6:20,337.015,15869,12.655
1 1 2018 6:30,336.482,15709,12.301
1 1 2018 6:40,335.587,15464,11.758
1 1 2018 6:50,335.862,15332,11.615
1 1 2018 7:0,335.373,15005,11.413
1 1 2018 7:10,335.131,15062,11.447
1 1 2018 7:20,335.735,15262,11.569
1 1 2018 7:30,336.026,15013,11.416
1 1 2018 7:40,335.818,14745,11.252
1 1 2018 7:50,336.082,14675,11.209
1 1 2018 8:0,335.01,14247,10.946
1 1 2018 8:10,334.489,13964,10.773
1 1 2018 8:20,335.417,14045,10.821
1 1 2018 8:30,336.56,14001,10.794
1 1 2018 8:40,339.564,12250,10.089
1 1 2018 8:50,343.201,11161,9.701
1 1 2018 9:0,346.288,9808,9.238
1 1 2018 9:10,346.612,8437,8.777
1 1 2018 9:20,346.08,6771,8.154
1 1 2018 9:30,346.052,5330,7.559
1 1 2018 9:40,345.997,4773,7.3
1 1 2018 9:50,345.739,4833,7.333
1 1 2018 10:0,346.052,4909,7.376
1 1 2018 10:10,345.926,4990,7.422
1 1 2018 10:20,345.975,5173,7.501
1 1 2018 10:30,345.096,4899,7.376
1 1 2018 10:40,344.195,4712,7.275
1 1 2018 10:50,343.097,4446,7.132
1 1 2018 11:0,342.663,4432,7.126
1 1 2018 11:10,341.624,4473,7.15
1 1 2018 11:20,340.817,4437,7.132
1 1 2018 11:30,340.207,4456,7.144
1 1 2018 11:40,340.223,4498,7.168
1 1 2018 11:50,339.57,4372,7.101
1 1 2018 12:0,338.702,4269,7.046
1 1 2018 12:10,337.405,4211,7.016
1 1 2018 12:20,336.153,4014,6.909
1 1 2018 12:30,335.021,3727,6.753
1 1 2018 12:40,334.087,3345,6.546
1 1 2018 12:50,332.368,2992,6.341
1 1 2018 13:0,330.813,2794,6.192
1 1 2018 13:10,329.61,2760,6.167
1 1 2018 13:20,327.638,2630,6.07
1 1 2018 13:30,324.973,2552,6.012
1 1 2018 13:40,322.271,2455,5.938
1 1 2018 13:50,319.661,2393,5.893
1 1 2018 14:0,317.903,2488,5.966
1 1 2018 14:10,316.673,2524,5.993
1 1 2018 14:20,315.42,2551,6.015
1 1 2018 14:30,314.767,2571,6.03
1 1 2018 14:40,315.387,2598,6.051
1 1 2018 14:50,315.948,2634,6.079
